7 990
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
5 2 6
4 2 5
1 2 1
2 3 4
3 4 3
4 5 7
5 6 8
6 7 10
7 2 2
7 4 9
7 1 11
